uf;mes;ano;vitimas
MG;01;2015;1
MG;01;2015;1
MG;01;2015;3
MG;01;2015;1
MG;01;2015;1
MG;01;2015;1
MG;01;2015;1
MG;01;2015;1
MG;01;2015;2
MG;01;2015;1
MG;01;2015;1
MG;01;2015;1
MG;01;2015;1
MG;01;2015;2
MG;01;2015;1
MG;01;2015;1
MG;01;2015;1
PA;01;2015;1
PA;01;2015;1
PA;01;2015;1
PA;01;2015;1
PA;01;2015;1
RN;01;2015;1
RN;01;2015;1
RN;01;2015;1
RR;01;2015;6
RS;01;2015;1
RS;01;2015;1
RS;01;2015;1
RS;01;2015;1
RS;01;2015;1
SC;01;2015;1
SC;01;2015;2
SC;01;2015;1
SC;01;2015;1
SC;01;2015;1
MG;02;2015;1
MG;02;2015;1
MG;02;2015;1
MG;02;2015;1
MG;02;2015;1
MG;02;2015;1
MG;02;2015;1
MG;02;2015;1
MG;02;2015;1
MG;02;2015;1
MS;02;2015;1
PA;02;2015;1
PA;02;2015;1
PA;02;2015;1
RN;02;2015;1
RN;02;2015;1
RN;02;2015;1
RN;02;2015;1
RS;02;2015;1
RS;02;2015;1
RS;02;2015;1
RS;02;2015;1
RS;02;2015;1
RS;02;2015;1
RS;02;2015;1
RS;02;2015;1
RS;02;2015;1
RS;02;2015;1
RS;02;2015;1
RS;02;2015;1
RS;02;2015;1
SC;02;2015;1
SC;02;2015;1
SC;02;2015;1
SC;02;2015;4
SC;02;2015;1
SC;02;2015;1
SC;02;2015;1
SC;02;2015;1
SC;02;2015;1
SC;02;2015;1
SC;02;2015;1
SC;02;2015;1
DF;03;2015;1
MA;03;2015;1
MA;03;2015;1
MA;03;2015;1
MA;03;2015;1
MA;03;2015;1
MG;03;2015;1
MG;03;2015;1
MG;03;2015;1
MG;03;2015;1
MG;03;2015;1
MG;03;2015;1
MG;03;2015;1
MG;03;2015;1
MG;03;2015;1
MG;03;2015;1
MG;03;2015;1
PA;03;2015;1
PA;03;2015;1
PB;03;2015;1
RN;03;2015;1
RS;03;2015;1
RS;03;2015;1
RS;03;2015;1
RS;03;2015;1
SC;03;2015;1
SC;03;2015;1
SC;03;2015;1
SC;03;2015;1
SC;03;2015;1
AL;04;2015;1
MA;04;2015;1
MG;04;2015;1
MG;04;2015;1
MG;04;2015;1
MG;04;2015;1
MG;04;2015;1
MG;04;2015;1
MG;04;2015;1
MG;04;2015;1
MG;04;2015;1
PA;04;2015;1
PB;04;2015;1
PI;04;2015;1
PI;04;2015;1
RN;04;2015;1
RS;04;2015;1
RS;04;2015;2
RS;04;2015;1
RS;04;2015;1
RS;04;2015;1
RS;04;2015;1
RS;04;2015;1
RS;04;2015;1
SP;04;2015;1
SP;04;2015;1
SP;04;2015;1
SP;04;2015;1
AC;05;2015;1
AL;05;2015;1
DF;05;2015;1
MA;05;2015;1
MA;05;2015;1
MG;05;2015;1
MG;05;2015;1
MG;05;2015;1
MG;05;2015;1
MG;05;2015;1
MG;05;2015;1
MG;05;2015;1
MG;05;2015;1
PA;05;2015;1
PB;05;2015;1
PB;05;2015;1
PI;05;2015;1
PI;05;2015;1
PI;05;2015;1
RN;05;2015;1
RS;05;2015;1
RS;05;2015;1
RS;05;2015;1
RS;05;2015;1
RS;05;2015;1
RS;05;2015;2
RS;05;2015;1
SC;05;2015;1
SC;05;2015;1
SP;05;2015;1
SP;05;2015;1
SP;05;2015;1
DF;06;2015;1
MA;06;2015;1
MA;06;2015;1
MG;06;2015;2
MG;06;2015;1
MG;06;2015;1
MG;06;2015;1
MG;06;2015;1
MG;06;2015;1
MG;06;2015;1
MG;06;2015;2
MG;06;2015;1
MG;06;2015;1
MG;06;2015;1
MG;06;2015;1
MS;06;2015;1
MS;06;2015;3
MS;06;2015;1
PB;06;2015;1
PB;06;2015;1
PI;06;2015;1
PI;06;2015;1
PI;06;2015;1
RN;06;2015;1
RS;06;2015;1
RS;06;2015;1
RS;06;2015;1
RS;06;2015;1
RS;06;2015;1
RS;06;2015;1
SC;06;2015;1
SC;06;2015;1
SP;06;2015;1
SP;06;2015;1
SP;06;2015;1
SP;06;2015;1
DF;07;2015;1
MA;07;2015;1
MA;07;2015;1
MA;07;2015;1
MG;07;2015;1
MG;07;2015;1
MG;07;2015;1
MG;07;2015;1
MG;07;2015;1
MG;07;2015;1
MG;07;2015;1
MG;07;2015;1
MG;07;2015;1
PA;07;2015;1
PA;07;2015;1
PB;07;2015;1
PB;07;2015;1
PB;07;2015;1
PI;07;2015;1
PI;07;2015;1
RN;07;2015;1
RN;07;2015;2
RN;07;2015;3
RS;07;2015;1
RS;07;2015;1
RS;07;2015;1
RS;07;2015;1
RS;07;2015;1
RS;07;2015;1
RS;07;2015;1
SC;07;2015;1
SC;07;2015;1
SP;07;2015;1
SP;07;2015;1
SP;07;2015;1
AL;08;2015;1
DF;08;2015;2
DF;08;2015;1
MA;08;2015;1
MA;08;2015;1
MA;08;2015;1
MA;08;2015;1
MA;08;2015;1
MG;08;2015;1
MG;08;2015;1
MG;08;2015;1
MG;08;2015;1
MG;08;2015;1
MG;08;2015;1
MG;08;2015;1
MG;08;2015;1
MG;08;2015;1
MG;08;2015;1
MG;08;2015;1
MG;08;2015;1
MG;08;2015;1
MS;08;2015;1
PA;08;2015;1
PA;08;2015;1
PA;08;2015;1
PA;08;2015;1
PB;08;2015;1
PI;08;2015;1
PI;08;2015;2
RN;08;2015;1
RN;08;2015;2
RN;08;2015;2
RN;08;2015;1
RN;08;2015;1
RS;08;2015;1
RS;08;2015;1
RS;08;2015;1
RS;08;2015;1
RS;08;2015;1
RS;08;2015;1
RS;08;2015;3
RS;08;2015;1
RS;08;2015;1
RS;08;2015;1
SC;08;2015;1
SC;08;2015;1
SC;08;2015;1
SC;08;2015;1
SP;08;2015;2
SP;08;2015;1
SP;08;2015;1
SP;08;2015;1
AL;09;2015;1
AL;09;2015;1
DF;09;2015;1
MA;09;2015;1
MG;09;2015;1
MG;09;2015;2
MG;09;2015;1
MG;09;2015;1
MG;09;2015;1
MG;09;2015;1
MG;09;2015;1
MG;09;2015;1
MG;09;2015;1
MG;09;2015;1
MG;09;2015;2
MS;09;2015;1
PA;09;2015;1
PB;09;2015;1
PB;09;2015;1
PB;09;2015;1
PI;09;2015;1
PI;09;2015;1
RN;09;2015;2
RS;09;2015;1
RS;09;2015;1
RS;09;2015;1
RS;09;2015;1
RS;09;2015;1
RS;09;2015;1
RS;09;2015;3
SC;09;2015;1
SC;09;2015;1
SP;09;2015;1
SP;09;2015;1
SP;09;2015;2
SP;09;2015;1
SP;09;2015;2
MA;10;2015;1
MG;10;2015;1
MG;10;2015;1
MG;10;2015;1
MG;10;2015;1
MG;10;2015;1
MG;10;2015;1
MG;10;2015;2
MG;10;2015;1
MG;10;2015;2
MG;10;2015;1
MG;10;2015;1
MG;10;2015;1
MG;10;2015;1
MG;10;2015;2
MG;10;2015;1
MG;10;2015;1
MG;10;2015;1
MG;10;2015;1
PA;10;2015;1
PA;10;2015;1
PA;10;2015;1
PA;10;2015;1
PB;10;2015;2
PI;10;2015;3
PI;10;2015;1
RN;10;2015;1
RN;10;2015;1
RN;10;2015;1
RS;10;2015;1
RS;10;2015;1
RS;10;2015;1
RS;10;2015;1
RS;10;2015;1
RS;10;2015;1
RS;10;2015;1
RS;10;2015;1
RS;10;2015;1
RS;10;2015;1
RS;10;2015;1
SC;10;2015;1
SP;10;2015;1
SP;10;2015;1
AC;11;2015;1
AL;11;2015;1
MA;11;2015;1
MA;11;2015;1
MA;11;2015;1
MG;11;2015;3
MG;11;2015;1
MG;11;2015;1
MG;11;2015;1
MG;11;2015;1
MG;11;2015;1
MG;11;2015;1
MG;11;2015;1
MG;11;2015;2
MG;11;2015;1
MG;11;2015;1
MG;11;2015;1
MG;11;2015;3
MG;11;2015;1
MS;11;2015;1
PA;11;2015;1
PA;11;2015;1
PA;11;2015;1
PA;11;2015;1
PA;11;2015;1
PA;11;2015;1
PB;11;2015;1
PB;11;2015;1
PI;11;2015;1
PI;11;2015;1
PI;11;2015;1
RN;11;2015;1
RN;11;2015;1
RN;11;2015;4
RS;11;2015;2
RS;11;2015;1
RS;11;2015;2
RS;11;2015;1
RS;11;2015;1
SC;11;2015;1
SC;11;2015;1
SC;11;2015;1
SC;11;2015;1
SC;11;2015;1
SC;11;2015;1
SP;11;2015;1
SP;11;2015;2
SP;11;2015;2
SP;11;2015;2
SP;11;2015;1
AC;12;2015;1
AL;12;2015;1
AL;12;2015;1
AL;12;2015;1
DF;12;2015;1
MA;12;2015;1
MA;12;2015;1
MA;12;2015;1
MG;12;2015;1
MG;12;2015;1
MG;12;2015;1
MG;12;2015;1
MG;12;2015;1
MG;12;2015;1
MG;12;2015;1
MG;12;2015;1
MG;12;2015;1
MS;12;2015;1
PA;12;2015;1
PA;12;2015;2
PA;12;2015;2
PA;12;2015;1
PA;12;2015;1
PA;12;2015;1
PB;12;2015;1
PI;12;2015;1
PI;12;2015;1
PI;12;2015;2
RN;12;2015;1
RN;12;2015;1
RS;12;2015;1
RS;12;2015;1
RS;12;2015;1
RS;12;2015;1
RS;12;2015;1
RS;12;2015;1
RS;12;2015;1
RS;12;2015;1
SC;12;2015;1
SP;12;2015;1
SP;12;2015;1
SP;12;2015;2
SP;12;2015;1
AL;01;2016;1
AL;01;2016;1
AL;01;2016;2
AM;01;2016;1
DF;01;2016;1
MA;01;2016;1
MA;01;2016;1
MA;01;2016;1
MG;01;2016;1
MG;01;2016;1
MG;01;2016;1
MG;01;2016;1
MG;01;2016;1
MG;01;2016;1
MG;01;2016;1
MG;01;2016;1
MG;01;2016;1
MS;01;2016;1
PA;01;2016;1
PA;01;2016;4
PA;01;2016;1
PA;01;2016;1
PA;01;2016;1
PA;01;2016;1
PB;01;2016;1
PB;01;2016;1
PI;01;2016;1
PI;01;2016;1
PI;01;2016;1
PI;01;2016;1
RN;01;2016;1
RN;01;2016;1
RR;01;2016;3
RS;01;2016;1
RS;01;2016;1
RS;01;2016;1
RS;01;2016;1
RS;01;2016;1
RS;01;2016;1
RS;01;2016;1
RS;01;2016;2
RS;01;2016;1
RS;01;2016;1
SC;01;2016;1
SC;01;2016;1
SC;01;2016;1
SP;01;2016;3
AC;02;2016;1
AC;02;2016;1
